ATU Classification Type,AT Classification Type,Thompson Motif
ATU 93 The Master Taken Seriously,AT 93 When a Threat is to be taken Seriously,J1031. Grain will be cut when farmer attends to it himself.
ATU 100 The Wolf is Caught Because of His Singing,"AT 100 Wolf, Guest of the Dog, Sings",J581.1. Wolf as dog's guest sings.
ATU 101 The Old Dog as Rescuer the Child (Sheep),AT 101 Old Dog Rescues the Child,K231.1.3. The dog refuses to help the wolf.
ATU 102 The Dog as Wolf's Shoemaker,AT 102 Fox Makes Clothes for the Wolf,K254.1. Dog as wolf's shoemaker eats up the materials
ATU 103 War between Wild Animals and Domestic Animals,ATU 103 War between Wild Animals and Domestic Animals,B262. War between domestic and wild animals.
ATU 103A Cat as She-Fox's Husband,AT 103A The Cat and the Fox Get Married,B281.9.1. The cas vixen's husband.
ATU 103A* Cat Claims to be King and Receives Food from Other Animals,AT 103A* Cat as the King of Beasts,NA
ATU 103 War between Wild Animals and Domestic Animals,AT 104 War Between the Village Animals and the Forest Animals (now ATU 103),B262. War between domestic and wild animals.
ATU 105 Cat's Only Trick,AT 105 Cat's Only Trick,J1662. The cat's only trick.
ATU 105* Hedgehogs Only trick,AT 105* Hedgehogs Only trick,K522. Escape by shamming death.
ATU 106 Animal's Conversation,AT 106 Talking Like an Animal,NA
ATU 110 Belling the Cat,AT 110 Belling the Cat,J671.1. Belling the cat.
ATU 111 The Cat and the Mouse Converse,AT 111 Cat and Mouse Converse,K561.1.1. Cfails to be beguiled into releasing mouse.
ATU 111A Wolf Unjustly Accuses Lamb and Eats Him,AT 111A Wolf and the Lamb,U31. Wolf unjustly accuses lamb and eats him.
ATU 111A* Drunkard's Promise,AT 111A* Drunkard's Promise,NA
ATU 112 Country Mouse Visits the Town Mouse,AT 112 Town Mouse and the Country Mouse,J211.2. Town mouse and country mouse.
ATU 113A Pan is Dead,AT 113A King O' the Cats,"B342. Cleaves house when report is made
 of death of one of his companions."
ATU 113B Cat as Sham Holy Man,AT 113B Cat as a Holy Man,K815.13. Cmakes truce with mice.
ATU 119B* Horse's Defense Against Wolves,"AT 119B* United We Stand, Divided We Fall",J1022. Fight of lions and bulls.
ATU 120 The First to See the Sunrise,AT 120 Wager to See the Sunrise First,K52. Contest in seeing sunrise first.
ATU 121 Wolves Climb on Top of One Another,AT 121 Ladder of Wolves,J2133.6. Wolves climb on top of one another to tree: lowest runs away and all fall.
ATU 122 Animal Loses His Prey Because his Victim Can Escape by False Plea,AT 122 Trickster Escapes,K550. Escape by false plea.
ATU 122A Wolf Seeks Breakfast,AT 122A Don't Eat an Unbaptized Pig!,K551.8. Wolf kept door until children have been christened
ATU 122B Rat Persuades Cat to Wash Face Before Eating,AT 122B Rat Persuades Cat to Wash Face Before Eating,K562. Rat persuades cat to wash face before eating: escapes.
ATU 122C Sheep Persuades the Wolf to Sing,"AT 122C Music Before Dinner, But No Dinner",K561.2. Sheep persuade the wolf to sing
ATU 122D Caught Animal Promises Captor Better Prey,AT122D I'll Bring You Better Game,"K553.1. ""Let me catch you better game."
ATU 123E Wait for the Fat Goat,AT 122E Wait for the Bigger Goat,K553.2. Wait for the fatter goat.
"ATU 122F ""Wait till I am Fat Enough""",AT 122F Eat Me When I'm Fatter,"K553. ""Wait till I get fat."""
"ATU 122G ""Wash Me"" (Soak Me) before Eating",AT 122G Soaking Off the Turtle's Shell,"K553.5. ""Soak me in the pond so thI will be juicy."
ATU 123 Wolf and the Kids,AT 123 Wolf and the Kids,K1832. Disguise by changing voice.
,,F913. Victims rescued from swallower's belly
,,Q426. Wolf cut open and filled with stones as punishment.
ATU 123B Wolf in Sheep's Clothing Gains Admission to the Fold,AT 123B Wolf in Sheep's Clothing,K828.1.Fox in sheepskin gains admission to fold and kills sheep.
