ATU Classification Type,AT Classification Type,Thompson Motif
,,H80. Identification by tokens.
,,Q262. Impostor punished.
,,L161. Lowly hero marries princess.
ATU 301 Three Stolen Princesses,AT 301A Quest for Vanished Princesses (now ATU 301),R111.2.1.2.1. Princess(es) rescued from lower world.
ATU 301 Three Stolen Princesses,AT 301B Strong Man and his Companion Rescue Princesses (now ATU 301),R111.2.1.2.1. Princess(es) rescued from lower world.
ATU 301D* Princess's Ring,AT 301D* Dragons Ravish Princesses,T68.1.1. Princess offered as prize to rescuer.
,,B11.11.11. Fight with dragon.
,,H94. Identification by ring.
ATU 302 Ogre's (Devil's) Heart in the Egg,AT 302 The Giant Whose Heart Was In an Egg,E710. External soul.
,,B393. Animals grateful for shelter.
,,B500. Magic power from animals.
,,D1834. Magic strength from helpful animal.
,,R11.1.1. Princess (maiden) abducted by monster (ogre).
,,D152.2.2. Transformation: man to eagle.
,,D182.2.2. Transformation: man to ant.
,,K975.2.2. Secret of external soul learned by deception.
,,B571.1.1. Animals help man overcome monster with external soul.
ATU 302B Life Dependent on a Sword,AT 302B Hero Whose Life in His Sword,E711.10.10. Soul in sword.
,,T11.2.2. Love through sight of picture.
ATU 303 The Twins or Blood-Brothers,AT 303 The Blood Brothers,T511.5.1.5.1. Conception from eating fish.
,,T589.7.1.7.1. Simultaneous birth of (domestic) animal and child.
,,E761. Life token.
,,R111.1.3.1.3. Rescue of princess (maiden) from dragon.
,,D231. Transformation: man to stone.
,,K1311.1.1. Husband's twin brother mistaken by woman for her husband.
,,T351. Sword of chastity
,,N342.3.3. Jealous and overhasty man kills his rescuing twin brother. *
,,B512. Medicine shown by animal.
ATU 303A Brothers Seek Sisters as Wives,AT 303A Seven Brides for Seven Brothers,T69.1.1. 100 brothers seek 100 sisters as wives.
,,D231. Transformation: man to stone
,,E715.1.1. Separable soul in bird.
,,R155.1.1. Youngest brother rescues his elder brothers.
ATU 304 Dangerous Night-Watch,AT 304 The Huntsman,F661.1.1. Skillful marksman shoots meat from giant's hands.
,,K912. Robbers' (giants') heads cut off one by one as they enter house.
,,N711.2.2. Hero finds maiden in (magic) castle.
,,H81.1.1.1.1. Hero takes token from sleeping princess.
,,H81. Clandestine lover recognized by tokens.
ATU 305 Dragon's Heart-Blood as Remedy,AT 305 Dragon's Heart-Blood as Remedy,D1500.1.7.3.3.1.7.3.3. Dragon's heart-blood as remedy.
ATU 306 The Danced-out Shoes,AT 306 Shoes That Were Danced to Pieces,H508.2.2. Bride offered to man who can find answer to question.
,,D1980. Magic invisibility.
,,K625.1.1. Escape of girl foiled by hero's refusal to take narcotic.
,,D2131. Magic underground journey.
,,F1015.1.1.1.1. The danced-out shoes
,,H80. Identification by tokens.
,,L161. Lowly hero marries princess.
ATU 307 The Princess in the Coffin,AT 307 The Vampire Princess,C758.1.1. Monster born because of hasty (inconsiderate) wish of parents.
,,E251. Vampire.
,,N825.2.2. Old man helper.
,,D791.1.7.1.7. Disenchantment at cock crow.
ATU 310 Maiden in the Tower,AT 310 Rapunzel,G279.2.2. Theft from witch.
,,S221.1.1. Bankrupt father sells his daughters in marriage to animals.
,,G204. Girl in service of witch.
,,R41.2.2. Captivity in tower.
,,F848.1.1. Girl's long hair as ladder into tower.
,,F555. Remarkable hair.
,,N455. Overheard (human) conversation.
,,D642.7.7. Transformation to elude pursuers.
ATU 311 Rescue by the Sister,AT 311 Heroine Rescues Herself and her Sisters,R11.1.1. Princess (maiden) abducted by monster (ogre).
,,C611. Forbidden chamber
,,C913. Bloody key as sign of disobedience
,,R157.1.1. Youngest sister rescues elder.
,,G561. Ogre tricked into carrying his prisoners home in bag on his own back.
,,K525. Escape by use of substituted object.
ATU 312 Maiden-Killer,AT 312 Bluebeard,C611. Forbidden chamber.
,,C920. Death for breaking tabu.
,,K555. Executioner kept busy or interested until rescue comes.
,,G551.1.1. Rescue of sister from ogre by brother.
ATU 312D Rescue by the Brother,AT 312D Hero Rescues His Brother and Sister,T511.3.3. Conception from eating vegetable.
,,F611.1.1. Strong man's birth
ATU 313 The Magic Flight,AT 313 Girl Helps the Hero Flee,H335.0.1.0.1. Bride helps suitor perform his tasks.
,,D1611. Magic object answers for fugitive.
,,D671. Transformation flight.
,,D672. Obstacle flight.
,,D2003. Forgotten fiancée.
,,D2006.1.1. Forgotten fiancée reawakens husband's memory.
,,D2006.1.4.1.4. Forgotten fiancée buys place in husband's bed and reawakens his memory.
ATU 314 Goldener,AT 314 The Golden-Haired Boy and His Magic Horse,B316. Abused and pampered horses.
,,C912. Hair turns to gold as punishment in forbidden chamber.
,,K1816.1.1. Gardener disguise
,,"C495.1.1. All questions to be answered, ""I don't know"""
,,H75.4.4. Recognition by golden hair.
,,T91.6.4.6.4. Princess falls in love with lowly boy
,,T55.1.1. Princess declares her love for lowly hero.
,,L113.1.0.1.1.0.1. Heroine endures hardships with menial husband.
,,H56. Recognition by wound.
ATU 315 The Faithless Sister,AT 315 The Treacherous Sister,F615. Strong man evades death.
,,K2212.0.2.0.2. Treacherous sister as mistress of robber (giant) plots against brother.
,,R111.1.1. Princess (maiden) rescued from captor.
,,L161. Lowly hero marries princess.
ATU 315A The Cannibal Sister,AT 315A Cannibal Sister,G346. Devastating monster.
,,"R251. Flight on a tree, which ogre tries to cut down."
,,B524.1.1.1.1. Dogs kill attacking cannibal (dragon).
ATU 316 The Nix of the Mill-Pond,AT 316 The Nixie in the Pond,"F420.1.2.1.2. Water-spirit as woman (water-nymph, water-nix)."
,,S240. Children unwittingly promised (sold)
,,F420.5.2.2.5.2.2. Water-spirits kidnap mortals and keep them under water.
,,R152. Wife rescues husband.
ATU 317 The Tree That Grows uo tp the Sky,AT 317 The Princess and the Sky-tree,F54.1.1. Tree stretches to sky.
,,B11.11.11. Fight with dragon.
ATU 318 The Faithless Wife,AT 318 The Faithless Wife,K2111. Potiphar's wife.
ATU 321 Eyes Recovered from Witch,AT 321 Won Back the Eyes from the Witch,D2161.3.1.1.3.1.1. Eyes torn out magically replaced.
ATU 325 The Magician and his Pupil,AT 325 The Magician and his Pupil,D1711.0.1.0.1. Magician's apprentice
,,H161. Recognition of transformed person among identical companions.
,,L142.2.2. Pupil surpasses magician.
ATU 325* Sorcerer's Apprentice,AT 325* Sorcerer's Apprentice and the Demon,D1711.0.1.0.1. Magician's apprentice
ATU 326 The Youth Who Wanted to Learn What Fear Is,AT 326 The Youth Who Set Out to Learn Fear,H1376.2.2. Quest: learning what fear is.
,,H1441. Fearless hero frightened by being awakened with cold water.
ATU 326A* Soul Released from Torment,AT 326A* Releasing a Soul from Torment,H1411. Fear test: staying in haunted house.
ATU 326B* The Youth and the Corpse,AT 326B* Robbers Frightened by a Corpse,K335.1.10.1.10. Robbers frightened by pretended cannibalism.
ATU 327 The Children and the Ogre,AT 327 The Children and the Ogre,
ATU 327A Hansel and Gretel,AT 327A Hansel and Gretel,S321. Destitute parents abandon children
,,"R135. Abandoned children (wife, etc.) find way back by clue (bread-crumb, grain, pebble, etc.)."
,,R135.1.1. Crumb (grain) trail eaten by birds.
,,G412.1.1. Ogre's gingerbread house lures child.
,,G82. Cannibal fattens victim.
,,G82.1.1.1.1. Captive sticks out bone instead of finger when cannibal tries to test his fatness.
,,G512.3.2.3.2. Ogre burned in his own oven.
ATU 327B The Brothers and the Ogre,AT 327B Small Boy Defeats the Ogre,K1611. Substituted caps cause ogre to kill his own children.
ATU 327C The Devil (Witch) Carries the Hero Home in a Sack,AT 327C Witch Carries the Boy Home in a Sack,G526. Ogre deceived by feigned ignorance of hero
,,G61. Relative's flesh eaten unwittingly.
ATU 327F Witch and the Fisher Boy,AT 327F Witch and the Fisher Boy,K1832. Disguise by changing voice.
,,G512.3.2.1.3.2.1. Ogre's wife (daughter) burned in his own oven.
ATU 327G Brothers at the Witch's House,AT 327G Boy Kills the Ogre's Daughter,G512.3.2.1.3.2.1. Ogre's wife (daughter) burned in his own oven.
,,K335.1.2.1.1.2.1. Corpse thrown among robbers frightens them from treasure.
ATU 328 Boy Steals the Ogre's Treasure,AT 328 Boy Steals the Ogre's Treasures,H1151. Theft as a task
,,H1172. Task: bringing an ogre to court.
,,H1172. Task: bringing an ogre to court.
ATU 328A Jack and the Beanstalk,AT 328A Jack and the Beanstalk,F54.2.2. Plant grows to sky.
,,G84. Fee-fi-fo-fum.
,,B103.2.1.2.1. Treasure-laying bird.
,,D1601.18.18. Self-playing musical instruments.
"ATU 328A* Three Brothers Steal Back Sun, Moon, and Stars","AT 328A* Three Brothers Restore Sun, Moon, and Stars",
ATU 329 Hiding from the Princess,AT 329 Hiding from the Princess,H321. Suitor test: hiding from princess
,,D641. Transformation to reach difficult place.
ATU 330 The Smith and the Devil,AT 330 The Smith Outwits the Devil,M211. Man sells soul to devil.
,,Q115. Reward: any boon that may be asked.
,,J2071. Three foolish wishes.
,,Z111.2.2.2.2. Death (demons) glued to chair
,,K213. Devil pounded in knapsack until he releases man.
,,Q565. Man admitted to neither heaven nor hell
,,"K2371.1.3.1.3. Heaven entered by trick: ""wishing sack"" thrown in."
ATU 330 The Smith and the Devil,AT 330* Heaven Entered by a Trick (now ATU 330),"K2371.1.3.1.3. Heaven entered by trick: ""wishing sack"" thrown in."
ATU 330 The Smith and the Devil,AT 330A Smith's Three Wishes (now ATU 330),J2071. Three foolish wishes.
ATU 330 The Smith and the Devil,AT 330B Devil in the Sack (now ATU 330),K213. Devil pounded in knapsack until he releases man.
ATU 330 The Smith and the Devil,AT 330C Winning Cards (now ATU 330),N221. Man granted power of winning at cards
ATU 330 The Smith and the Devil,AT 330D Misery Stuck on Earth (now ATU 330),D1413.1.3.1.3. Fig tree from which one cannot descend
ATU 331 The Spirit in the Bottle,AT 331 The Demon in the Bottle,R181. Demon enclosed in bottle released.
,,K717. Deception into bottle (vessel).
ATU 332 Godfather Death,AT 332 Godfather Death,J486. Death preferred above God and Justice.
,,D1825.3.1.3.1. Magic power of seeing Death at head or foot of bed and thus forecasting progress of sickness
,,K557. Death cheated by moving bed.
ATU 333 Little Red Riding Hood,AT 333 Little Red Riding Hood,"J21.5.5. ""Do not leave the highway"""
,,"Z18.1.1. What makes your ears so big? -- To hear the better, my child, etc"
,,"K2011. Wolf poses as ""grandmother"" and kills child"
,,F913. Victims rescued from swallower's belly.
,,Q426. Wolf cut open and filled with stones as punishment.
ATU 333 Little Red Riding Hood,AT 333A Wolf and the Greedy Girl (now ATU 333),K1044. Dupe induced to eat filth (dung).
ATU 334 Household of the Witch,AT 334 At the Witch's House,G11.3.3. Cannibal witch
ATU 335 Death' Messengers,AT 335 Death' Messengers,J1051. Death's three messengers.
ATU 360 Bargain of the Three Brothers and the Devil,AT 360 The Three Apprentices and the Devil,"C495.2.2. ""We three"" -- ""For gold"" -- ""That is right""."
,,K217. Devil gets another soul instead of one bargained for.
ATU 361 Bear-skin,AT 361 The Man Who Did not Wash for Seven Years,M211. Man sells soul to devil.
,,C721. Tabu: bathing.
,,C723.1.1. Tabu: combing hair during certain time.
,,L54.1.1. Youngest daughter agrees to marry a monster; later the sisters are jealous
ATU 363 The Corpse-Eater,AT 363 The Vampire Suitor,G20. Ghouls. Persons eat corpses.
ATU 365 Dead Bridegroom Carries off His Bride,AT 365 Dead Bridegroom Claims His Bride,E215. The Dead Rider (Lenore).
ATU 366 The Man from the Gallows,AT 366 The Corpse Claims it Property,E235.4.4. Return from dead to punish theft of part of corpse.
ATU 400 Man on a Quest for His Lost Wife,AT 400 The Quest for a Lost Bride,H1385.3. Quest for vanished wife (mistress).
,,N681. Husband (lover) arrives home just as wife (mistress) is to marry another.
,,D361.1. Swan Maiden
,,D721.2. Disenchantment by hiding skin (covering)
,,D361.1.1. Swan Maiden finds her hidden wings and resumes her form.
,,D758.1. Disenchantment by three nights' silence under punishment.
,AT 400* Swan Maiden (now ATU 400),B652.1. Marriage to swan-maiden.
,AT 401 The Girl Transformed into an Animal (now ATU 400),
,AT 401A Enchanted Princess in Her Castle (now ATU 400),
ATU 402 The Animal Bride,AT 402 The Animal Bride,H1210.1. Quest assigned by father.
,,H1242. Youngest brother alone succeeds on quest.
,,H1301.1. Quest for the most beautiful bride.
,,D711. Disenchantment by decapitation.
ATU 402A* Princess Transformed into a Toad,AT 402A* Serpent Princess,D735. Disenchantment by kiss.
ATU 403 The Black and the White Bride,AT 403 The Black and the White Bride,S31. Cruel stepmother.
,,"H1023.3. Task: bringing berries (fruit, roses) in winter."
,,D1860. Magic beautification.
,,D1454.2. Treasure falls from mouth.
,,D1870. Magic hideousness
,,M431.2. Curse: toads from mouth.
,,S432. Cast-off wife thrown into water.
,,K1911. The false bride (substituted bride)
,,D161.2. Transformation: man to goose.
,,Q261. Treachery punished.
ATU 405 Jorinde and Joringel,AT 405 Jorinde and Joringel,D683.2. Transformation by witch (sorceress).
,,D771. Disenchantment by use of magic object.
ATU 407 The Girl as a Flower,AT 407 The Girl as a Flower,D212. Transformation: man (woman) to flower.
,,D711.4. Disenchantment from flower by breaking stalk.
,,T100. Marriage.
ATU 407 The Girl as a Flower,AT 407A Myrtle Child (now ATU 407),
ATU 407 The Girl as a Flower,AT 407B Woman who Married Death (now ATU 407),
ATU 408 The Three Oranges,AT 408 The Love of Three Oranges,S375. Old woman's maledictions inform abandoned hero of his parentage and future.
,,D721.5. Disenchantment from fruit (flower) by opening it.
,,J1791. Reflection in water thought to be the original of the thing reflected.
,,K1911.2.2. True bride pushed into water by false.
,,D610. Repeated transformation.
,,K1911.3. Reinstatement of true bride.
ATU 409 The Girl as Wolf,AT 409 The Girl as Wolf,D113.1. Transformation: man to wolf.
,,D721. Disenchantment by removing skin (or covering)
,,Q261. Treachery punished
ATU 409A The Girl as Goat,AT 409A The Chicken Bride,T554. Woman gives birth to animal.
ATU 410 Sleeping Beauty,AT 410 Sleeping Beauty,B211.7.1. Speaking frog.
,,F361.1.1. Fairy takes revenge for not being invited to feast.
,,G269.4. Curse by disappointed witch.
,,M341.2.13. Prophecy: death through spindle wound.
,,M370. Vain attempts to escape fulfillment of prophecy.
,,D1364.17. Spindle causes magic sleep.
,,D1967.1. Person in magic sleep surrounded by protecting hedge
,,N711.2. Hero finds maiden in (magic) castle.
,,D1978.5. Waking from magic sleep by kiss.
ATU 412 Maiden with a Separable Soul in a Necklace,AT 412 Girl Whose Soul was in her Necklace,E711.4. Soul in necklace.
,,
ATU 413 Stolen Clothing,AT 413 Marriage by Stealing Clothing,Z211. Dreadnaughts - do something warned against
,,K1335. Seduction (or wooing) by stealing clothes of bathing girl (swan maiden).
,,C311. Tabu: seeing the supernatural.
,,"E121.5. Resuscitation by holy man (priest, etc.)."
ATU 425A The Animal as Bridegroom,AT 425A Animal Bridegroom,L221. Modest request: present from the journey
,,"S241. Child unwittingly promised: ""first thing you meet."""
,,C757.1. Tabu: destroying animal skin of enchanted person too soon.
,,C32.1. Tabu: looking at supernatural husband.
,,C32.1. Tabu: looking at supernatural husband.
,,H1385.4. Quest for vanished husband.
,,"H1232. Directions on quest given by sun, moon, wind, and stars."
,,Q482.1. Princess serves as menial.
,,D2006.1.4. Forgotten fiancée buys place in husband's bed and reawakens his memory.
ATU 425C Beauty and the Beast,AT 425C Beauty and the Beast,L221. Modest request: present from the journey.
,,C761.2. Tabu: staying too long at home.
,,D735.1. Beauty and the beast. disenchantment by kiss
ATU 425D The Vanished Husband,AT 425D Wife finds her Lost Husband by Keeping an Inn,C932. Loss of wife (husband) for breaking tabu.
,,"H11.1.1. Recognition at inn (hospital, etc.) where all must tell their life histories."
ATU 425D The Vanished Husband,AT 425F The Thieving Bird (now ATU 425D),D150. Transformation: man to bird.
,,D753. Disenchantment by accomplishment of tasks
ATU 425A The Animal as Bridegroom,AT 425G Servant Takes the Sleeping Heroines Place (now ATU 425A),
ATU 425B Son of the Witch,AT 425J Heroine Serves in Hell for her Bridegroom (now ATU 425B),Cupid and Psyche
ATU 425E Enchanted Husband Sings Lullaby,AT 425L Husband with a Lock in his Navel (now ATU 425E),C611. †C611. Forbidden chamber.
ATU 425B Son of the Witch,AT 425N Bird Husband (now ATU 425B),NA
"ATU 426 Two Girls, the Bear, and the Dwarf ( Snow White and Rose Red)","AT 426 Two Girls, the Bear, and the Dwarf",F451.5.2.1. Ungrateful dwarf.
,,D763. Disenchantment by destroying enchanter.
ATU 430 Donkey,AT 430 Donkey Bridegroom,T554. Woman gives birth to animal.
,,641.4. Marriage to person in ass form.
,,D721.3. Disenchantment by destroying skin (covering).
ATU 431 The House in the Forest,AT 431 The House in the Forest,D1890. Magic aging.
